"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","Year","Updated.On","Time","ActiveOrInactive"
8059445,"HT290964",2011-05-11,"002XX W GARFIELD BLVD","0460","BATTERY","SIMPLE","CTA PLATFORM","true","false",934,9,3,37,"08B",2011,"02/10/2018 03:50:01 PM",16:28:00,"Inactive"
8062651,"HT292159",2011-05-11,"011XX W BRYN MAWR AVE","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",2023,20,48,77,"06",2011,"02/10/2018 03:50:01 PM",17:00:00,"Inactive"
8059343,"HT291002",2011-05-11,"001XX W 35TH ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","false","false",924,9,11,34,"11",2011,"02/10/2018 03:50:01 PM",17:20:00,"Inactive"
8059439,"HT291148",2011-05-11,"071XX S CALIFORNIA AVE","0820","THEFT","$500 AND UNDER","CTA BUS","false","false",831,8,18,66,"06",2011,"02/10/2018 03:50:01 PM",19:15:00,"Inactive"
8059484,"HT291196",2011-05-11,"002XX S WABASH AVE","1350","CRIMINAL TRESPASS","TO STATE SUP LAND","CTA PLATFORM","true","false",123,1,42,32,"26",2011,"02/04/2016 06:33:39 AM",19:30:00,"Inactive"
8059504,"HT291154",2011-05-11,"012XX N CLARK ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","CTA PLATFORM","true","false",1821,18,42,8,"18",2011,"02/10/2018 03:50:01 PM",19:30:00,"Inactive"
8059601,"HT291234",2011-05-11,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",20:15:00,"Inactive"
8059626,"HT291358",2011-05-11,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",20:15:00,"Inactive"
8059673,"HT291380",2011-05-11,"004XX W 87TH ST","0460","BATTERY","SIMPLE","CTA BUS","false","false",622,6,21,49,"08B",2011,"02/10/2018 03:50:01 PM",21:30:00,"Inactive"
8059819,"HT291549",2011-05-12,"009XX W BELMONT AVE","1350","CRIMINAL TRESPASS","TO STATE SUP LAND","CTA BUS STOP","true","false",1924,19,44,6,"26",2011,"02/04/2016 06:33:39 AM",01:42:00,"Active"
8059814,"HT291547",2011-05-12,"046XX N BROADWAY","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",2311,19,46,3,"03",2011,"02/10/2018 03:50:01 PM",01:45:00,"Active"
8060806,"HT292083",2011-05-12,"093XX S STONY ISLAND AVE","033A","ROBBERY","ATTEMPT: ARMED-HANDGUN","CTA BUS STOP","false","false",413,4,8,48,"03",2011,"02/10/2018 03:50:01 PM",04:00:00,"Active"
8060642,"HT292019",2011-05-12,"004XX E 35TH ST","0820","THEFT","$500 AND UNDER","CTA BUS","false","false",212,2,4,35,"06",2011,"02/04/2016 06:33:39 AM",07:45:00,"Inactive"
